modulo;arquivo_origem;data_extracao;id_compra;id_compra_item;numero_item;tipo_material_servico;codigo_item_catalogo;descricao_simples;descricao_detalhada;quantidade;unidade_medida;valor_estimado_item;valor_homologado_item;valor_unitario_resultado;valor_total_resultado;menor_lance;valor_negociado;situacao_item;tem_resultado;fornecedor_vencedor_cnpj;fornecedor_vencedor_nome;beneficio;criterio_julgamento;decreto7174;sustentavel;data_encerramento;data_adjudicacao;data_homologacao;data_resultado;data_inclusao_pncp;data_atualizacao_pncp;data_alteracao
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800026;00026;Material;;TORQUÊS, MATERIAL CORPO AÇO FORJADO E TEMPERADO TIPO ARMADOR TIPO ACABAMENTO OXIDADO TAMANHO 12 POL PESO 575 G CARACTERÍSTICAS ADICIONAIS MEIO CORTE, MANDÍBULAS LIXADAS;TORQUÊS, MATERIAL CORPO AÇO FORJADO E TEMPERADO, TIPO ARMADOR, TIPO ACABAMENTOOXIDADO, TAMANHO 12 POL, PESO 575 G, CARACTERÍSTICAS ADICIONAIS MEIO CORTE, MANDÍBULAS LIXADAS;1;Unidade;0,00;24,50;;;24,50;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800025;00025;Material;;TIJOLO, MATERIAL BARRO COZIDO TIPO FURADO COMPRIMENTO 19 CM LARGURA 19 CM ESPESSURA 9 CM QUANTIDADE FUROS 8 UN APLICAÇÃO CONSTRUÇÃO CIVIL;TIJOLO, MATERIAL BARRO COZIDO, TIPO FURADO, COMPRIMENTO 19 CM, LARGURA 19 CM, ESPESSURA 9 CM, QUANTIDADE FUROS 8 UN, APLICAÇÃO CONSTRUÇÃO CIVIL;1500;Unidade;0,00;0,55;;;0,55;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800024;00024;Material;;TÁBUA MADEIRA, TABUA DIMENSIONADA / APARELHADA NOME;TÁBUA MADEIRA, NOME TABUA DIMENSIONADA / APARELHADA;10;Unidade;0,00;19,95;;;19,95;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800023;00023;Material;;RÉGUA PEDREIRO, MATERIAL ALUMÍNIO COMPRIMENTO 3 M;RÉGUA PEDREIRO, MATERIAL ALUMÍNIO, COMPRIMENTO 3 M;1;Unidade;0,00;43,09;;;43,09;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800022;00022;Material;;PRUMO, MATERIAL AÇO CARACTERÍSTICAS ADICIONAIS CORDÃO NYLON E CALÇO GUIA MADEIRA APLICAÇÃO VERIFICAÇÃO PRUMO DE PAREDE PESO 700 G;PRUMO, MATERIAL AÇO, CARACTERÍSTICAS ADICIONAIS CORDÃO NYLON E CALÇO GUIA MADEIRA, APLICAÇÃO VERIFICAÇÃO PRUMO DE PAREDE, PESO 700 G;1;Unidade;0,00;21,85;;;21,85;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800021;00021;Material;;PREGO COM CABEÇA, MATERIAL ARAME PARA PREGO TIPO CABEÇA CÔNICA AXADREZADA TIPO CORPO LISO TIPO PONTA DIAMANTE ACABAMENTO SUPERFICIAL POLIDO BITOLA 18 X 24;PREGO COM CABEÇA, MATERIAL ARAME PARA PREGO, TIPO CABEÇA CÔNICA AXADREZADA, TIPO CORPO LISO, TIPO PONTA DIAMANTE, ACABAMENTO SUPERFICIAL POLIDO, BITOLA 18X 24;2;Quilograma;0,00;9,29;;;9,29;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800020;00020;Material;;BRITA, MATERIAL ROCHA TRITURADA TAMANHO BRITA 1;BRITA, MATERIAL ROCHA TRITURADA, TAMANHO BRITA 1;25;Lata;0,00;;;;2,19;;Cancelado no julgamento;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800019;00019;Material;;LUVA PVC, TAMANHO 32 MM TAMANHO PUNHO MÉDIO CARACTERÍSTICAS ADICIONAIS MARROM;LUVA PVC, TAMANHO 32 MM, TAMANHO PUNHO MÉDIO, CARACTERÍSTICAS ADICIONAIS MARROM;4;Unidade;0,00;1,80;;;1,80;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800018;00018;Material;;LINHA NÁILON, MATERIAL NÁILON COMPRIMENTO 100 M ESPESSURA 0,80 MM COR FUMÊ;LINHA NÁILON, MATERIAL NÁILON, COMPRIMENTO 100 M, ESPESSURA 0,80 MM, COR FUMÊ;2;Carretel;0,00;10,09;;;10,09;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800017;00017;Material;;PVC - FORRO / REVESTIMENTO, PVC - FORRO / REVESTIMENTO NOME;PVC - FORRO / REVESTIMENTO, NOME PVC - FORRO / REVESTIMENTO;20;Metros Quadrados;0,00;20,05;;;20,05;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800016;00016;Material;;ESQUADRO, TIPO FIXO MATERIAL RÉGUA AÇO MATERIAL CABO ALUMÍNIO COMPRIMENTO RÉGUA 12 POL TIPO GRADUAÇÃO DUPLA TIPO SISTEMA MEDIÇÃO DECIMAL E INGLÊS ESCALA GRADUAÇÃO 0,50 MM E 1/32¨ APLICAÇÃO CARPINTARIA;ESQUADRO, TIPO FIXO, MATERIAL RÉGUA AÇO, MATERIAL CABO ALUMÍNIO, COMPRIMENTO RÉGUA 12 POL, TIPO GRADUAÇÃO DUPLA, TIPO SISTEMA MEDIÇÃO DECIMAL E INGLÊS, ESCALA GRADUAÇÃO 0,50 MM E 1/32 , APLICAÇÃO CARPINTARIA;1;Unidade;0,00;24,84;;;24,84;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800015;00015;Material;;DESEMPENADEIRA, DESEMPENADEIRA DE PLASTICO NOME;DESEMPENADEIRA, NOME DESEMPENADEIRA DE PLASTICO;2;Unidade;0,00;10,35;;;10,35;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800014;00014;Material;;COLHER PEDREIRO, MATERIAL AÇO CARBONO TAMANHO 8 POL MATERIAL CABO MADEIRA ENVERNIZADA CARACTERÍSTICAS ADICIONAIS RETA - INTEIRIÇA;COLHER PEDREIRO, MATERIAL AÇO CARBONO, TAMANHO 8 POL, MATERIAL CABO MADEIRA ENVERNIZADA, CARACTERÍSTICAS ADICIONAIS RETA- INTEIRIÇA;1;Unidade;0,00;17,59;;;17,59;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800013;00013;Material;;CIMENTO PORTLAND, MATERIAL POZOLÂNICO TIPO CP II-Z-32RS;CIMENTO PORTLAND, MATERIAL POZOLÂNICO, TIPO CP II-Z-32RS;46;Saco;0,00;23,08;;;23,08;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800012;00012;Material;;CAL HIDRATADA, CAL HIDRATADA NOME;CAL HIDRATADA, NOME CAL HIDRATADA;16;Saco 20 Kg;0,00;13,25;;;13,25;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800011;00011;Material;;BROXA PINTURA, BROXA DE PINTURA NOME;BROXA PINTURA, NOME BROXA DE PINTURA;1;Unidade;0,00;7,82;;;7,82;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800010;00010;Material;;ADITIVO, COMPONENTE BÁSICO COPOLIMERO PARA CIMENTO ASPECTO FÍSICO LÍQUIDO APLICAÇÃO ARGAMASSA / PINTURA CARACTERÍSTICAS ADICIONAIS NÃO TÓXICO PRAZO VALIDADE 12 MÊS;ADITIVO, COMPONENTE BÁSICO COPOLIMERO PARA CIMENTO, ASPECTO FÍSICO LÍQUIDO, APLICAÇÃO ARGAMASSA/ PINTURA, CARACTERÍSTICAS ADICIONAIS NÃO TÓXICO, PRAZO VALIDADE 12 MÊS;4;Litro;0,00;7,90;;;7,90;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800009;00009;Material;;TIJOLO, MATERIAL VIDRO TIPO MACIÇO / ONDULADO COMPRIMENTO 19 CM LARGURA 19 CM ESPESSURA 8 CM CARACTERÍSTICAS ADICIONAIS INCOLOR TRANSPARENTE;TIJOLO, MATERIAL VIDRO, TIPO MACIÇO/ ONDULADO, COMPRIMENTO 19 CM, LARGURA 19 CM, ESPESSURA 8 CM, CARACTERÍSTICAS ADICIONAIS INCOLOR TRANSPARENTE;16;Unidade;0,00;19,45;;;19,45;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800008;00008;Material;;AREIA, TIPO LAVADA GRANULOMETRIA GROSSA;AREIA, TIPO LAVADA, GRANULOMETRIA GROSSA;3;Metro Cúbico;0,00;105,00;;;105,00;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800007;00007;Material;;AREIA, TIPO LAVADA GRANULOMETRIA FINA;AREIA, TIPO LAVADA, GRANULOMETRIA FINA;3;Metro Cúbico;0,00;78,32;;;78,32;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800006;00006;Material;;ARAME AÇO RECOZIDO, ARAME DE ACO RECOZIDO PARA CONSTRUCAO CI NOME;ARAME AÇO RECOZIDO, NOME ARAME DE ACO RECOZIDO PARA CONSTRUCAO CI;4;Quilograma;0,00;11,35;;;11,35;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800005;00005;Material;;GRADE JANELA, GRADE DE JANELA NOME;GRADE JANELA, NOME GRADE DE JANELA;2;Unidade;0,00;965,33;;;970,00;965,33;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800004;00004;Material;;GRADE JANELA, GRADE DE JANELA NOME;GRADE JANELA, NOME GRADE DE JANELA;5;Unidade;0,00;1369,86;;;1378,00;1369,86;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800003;00003;Material;;PORTÃO, PORTAO DE MATERIAL METALICO NOME;PORTÃO, NOME PORTAO DE MATERIAL METALICO;2;Unidade;0,00;3099,69;;;3099,69;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800002;00002;Material;;BOTÃO, TIPO FRANCÊS MATERIAL METAL CROMADO FORMATO CIRCULAR APLICAÇÃO FIXAÇÃO VIDRO/ESPELHO;BOTÃO, TIPO FRANCÊS, MATERIAL METAL CROMADO, FORMATO CIRCULAR, APLICAÇÃO FIXAÇÃO VIDRO/ESPELHO;28;Unidade;0,00;3,41;;;4,00;3,41;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800001;00001;Material;;VIDRO DIVISÓRIA, VIDRO DIVISÓRIA NOME;VIDRO DIVISÓRIA, NOME VIDRO DIVISÓRIA;4;Unidade;0,00;333,91;;;335,00;333,91;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012019_E4_p1.json;2026-03-24 07:51:12;15584805000012019;1558480500001201900113;00113;Material;;PARAFUSO COM PORCA, PARAFUSO COM PORCA NOME;PARAFUSO COM PORCA, NOME PARAFUSO COM PORCA;2100;Unidade;0,00;0,34;;;0,34;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;20/05/2019;20/05/2019;20/05/2019;;;;08/04/2024
LEGADO;itens_15584805000012019_E4_p1.json;2026-03-24 07:51:12;15584805000012019;1558480500001201900112;00112;Material;;BUCHA PARAFUSO, MATERIAL NÁILON COMPRIMENTO 5 CM ESPESSURA 8 MM;BUCHA PARAFUSO, MATERIAL NÁILON, COMPRIMENTO 5 CM, ESPESSURA 8 MM;1900;Unidade;0,00;0,13;;;0,13;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;20/05/2019;20/05/2019;20/05/2019;;;;08/04/2024
LEGADO;itens_15584805000012019_E4_p1.json;2026-03-24 07:51:12;15584805000012019;1558480500001201900111;00111;Material;;BUCHA PARAFUSO, MATERIAL NÁILON COMPRIMENTO 3 CM ESPESSURA 6 MM;BUCHA PARAFUSO, MATERIAL NÁILON, COMPRIMENTO 3 CM, ESPESSURA 6 MM;1900;Unidade;0,00;0,06;;;0,06;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;20/05/2019;20/05/2019;20/05/2019;;;;08/04/2024
