codigo_documento;sequencial;descricao;codigo_subelemento;descricao_subelemento;valor_atual;arquivo_origem;data_extracao
155848264152021NE000010;1;PRESTAÇÃO DE SERVIÇOS DE COPEIRAGEM;05;SERVICOS DE COPA E COZINHA;7.247,90;itens_DR_155848264152021NE000010.json;2026-03-24 15:27:44
155848264152021NE000012;1;O PRESENTE EDITAL TEM POR OBJETIVO FOMENTAR A PESQUISA CIENTÍFICA E O DESENVOLVIMENTO TECNOLÓGICO DO IFMS, POR MEIO DA SELEÇÃO DE PROJETOS DE PESQUISA E INDICAÇÃO DE ESTUDANTES A SEREM VINCULADOS AO PROGRAMA INSTITUCIONAL DE INICIAÇÃO CIENTÍFICA E TECNOLÓGICA DO IFMS (PITEC), EM SUAS DIVERSAS CATEGORIAS.   EDITAL Nº 019/2020 PROPI/IFMS - INICIAÇÃO CIENTÍFICA E TECNOLÓGICA.PARCELA (06/12). COMPETÊNCIA:JANEIRO/2021.   ÁREA: CIÊNCIAS HUMANAS. CAMPUS DOURADOS.TÍTULO DO PROJETO:   REPRESENTAÇÕES DO FEMININO NA CIÊNCIA EM RICK AND MORTY.COORDENADOR:   PROFESSOR GEOVANO MOREIRA CHAVES.ESTUDANTE:   VITÓRIA KARLING NATALICIO.;01;BOLSAS DE ESTUDO NO PAIS;0,00;itens_DR_155848264152021NE000012.json;2026-03-24 15:25:10
155848264152021NE000012;2;O PRESENTE EDITAL TEM POR OBJETIVO FOMENTAR A PESQUISA CIENTÍFICA E O DESENVOLVIMENTO TECNOLÓGICO DO IFMS, POR MEIO DA SELEÇÃO DE PROJETOS DE PESQUISA E INDICAÇÃO DE ESTUDANTES A SEREM VINCULADOS AO PROGRAMA INSTITUCIONAL DE INICIAÇÃO CIENTÍFICA E TECNOLÓGICA DO IFMS (PITEC), EM SUAS DIVERSAS CATEGORIAS. EDITAL Nº 019/2020 PROPI/IFMS - INICIAÇÃO CIENTÍFICA E TECNOLÓGICA. PARCELA (06/12). COMPETÊNCIA:FEVEREIRO/2021. ÁREA: CIÊNCIAS HUMANAS. CAMPUS DOURADOS. TÍTULO DO PROJETO:REPRESENTAÇÕES DO FEMININO NA CIÊNCIA EM RICK AND MORTY. COORDENADOR: PROFESSOR GEOVANO MOREIRA CHAVES. ESTUDANTE:VITÓRIA KARLING NATALICIO. MODAL;01;BOLSAS DE ESTUDO NO PAIS;100,00;itens_DR_155848264152021NE000012.json;2026-03-24 15:25:10
155848264152021NE000013;2;O PRESENTE EDITAL TEM POR OBJETIVO FOMENTAR A PESQUISA CIENTÍFICA E O DESENVOLVIMENTO TECNOLÓGICO DO IFMS, POR MEIO DA SELEÇÃO DE PROJETOS DEPESQUISA E INDICAÇÃO DE ESTUDANTES A SEREM VINCULADOS AO PROGRAMA INSTITUCIONAL DE INICIAÇÃO CIENTÍFICA E TECNOLÓGICA DO IFMS (PITEC), EM SUAS DIVERSAS CATEGORIAS. EDITAL Nº 019/2020 PROPI/IFMS - INICIAÇÃO CIENTÍFICA E TECNOLÓGICA. PARCELA (06/12). COMPETÊNCIA:FEVEREIRO/2021. ÁREA: CIÊNCIAS SOCIAIS E APLICADAS. CAMPUS DOURADOS. TÍTULO DO PROJETO:GUARUAK: UMA APLICAÇÃO WEB PARA TRADUÇÃO DE LÍNGUAS INDÍGENAS. COORDENADORA:PROFESSORA CARMEM SILVIA MORETZSOHN ROCHA. ESTUDANTE:LIBNI;01;BOLSAS DE ESTUDO NO PAIS;100,00;itens_DR_155848264152021NE000013.json;2026-03-24 15:29:49
155848264152021NE000013;1;O PRESENTE EDITAL TEM POR OBJETIVO FOMENTAR A PESQUISA CIENTÍFICA E O DESENVOLVIMENTO TECNOLÓGICO DO IFMS, POR MEIO DA SELEÇÃO DE PROJETOS DEPESQUISA E INDICAÇÃO DE ESTUDANTES A SEREM VINCULADOS AO PROGRAMA INSTITUCIONAL DE INICIAÇÃO CIENTÍFICA E TECNOLÓGICA DO IFMS (PITEC), EM SUAS DIVERSAS CATEGORIAS. EDITAL Nº 019/2020 PROPI/IFMS - INICIAÇÃO CIENTÍFICA E TECNOLÓGICA. PARCELA (04/12). COMPETÊNCIA:DEZEMBRO/2020. ÁREA: CIÊNCIAS SOCIAIS E APLICADAS. CAMPUS DOURADOS. TÍTULO DO PROJETO:GUARUAK: UMA APLICAÇÃO WEB PARA TRADUÇÃO DE LÍNGUAS INDÍGENAS. COORDENADORA:PROFESSORA CARMEM SILVIA MORETZSOHN ROCHA. ESTUDANTE:LIBNI A;01;BOLSAS DE ESTUDO NO PAIS;0,00;itens_DR_155848264152021NE000013.json;2026-03-24 15:29:49
155848264152021NE000014;1;Item compra: 00001 - COLETA , TRATAMENTO LIXO - HOSPITALAR;78;LIMPEZA E CONSERVACAO;1.457,60;itens_DR_155848264152021NE000014.json;2026-03-24 15:20:10
155848264152021NE000015;1;Item compra: 00001 - MANUTENÇÃO DE VEÍCULOS LEVES - PARTE MECÂNICA;19;MANUTENCAO E CONSERV. DE VEICULOS;3.649,16;itens_DR_155848264152021NE000015.json;2026-03-24 15:20:23
155848264152021NE000015;2;Item compra: 00003 - MANUTENÇÃO DE VEÍCULOS LEVES - PARTE MECÂNICA;19;MANUTENCAO E CONSERV. DE VEICULOS;3.649,45;itens_DR_155848264152021NE000015.json;2026-03-24 15:20:23
155848264152021NE000018;2;Item compra: 00010 - PRESTAÇÃO DE SERVIÇO DE VIGILÂNCIA E SEGURANÇA - ORGÂNICA   12H NOTURNAS - 2ª A DOMINGO;03;VIGILANCIA OSTENSIVA;1.008,20;itens_DR_155848264152021NE000018.json;2026-03-24 15:29:57
155848264152021NE000018;1;Item compra: 00009 - PRESTAÇÃO DE SERVIÇO DE VIGILÂNCIA E SEGURANÇA - ORGÂNICA - 12 HORAS DIURNAS - 2ª A DOMINGO;03;VIGILANCIA OSTENSIVA;924,96;itens_DR_155848264152021NE000018.json;2026-03-24 15:29:57
155848264152021NE000019;2;Item compra: 00010 - PRESTAÇÃO DE SERVIÇO DE VIGILÂNCIA E SEGURANÇA - ORGÂNICA   12H NOTURNAS - 2ª A DOMINGO;03;VIGILANCIA OSTENSIVA;104.796,19;itens_DR_155848264152021NE000019.json;2026-03-24 15:24:27
155848264152021NE000019;1;Item compra: 00009 - PRESTAÇÃO DE SERVIÇO DE VIGILÂNCIA E SEGURANÇA - ORGÂNICA - 12 HORAS DIURNAS - 2ª A DOMINGO;03;VIGILANCIA OSTENSIVA;96.169,06;itens_DR_155848264152021NE000019.json;2026-03-24 15:24:27
155848264152021NE000020;1;ATENDER DESPESA COM PAGAMENTO DE AUXÍLIOS DIVERSOS REFERENTES ÀS AÇÕES DE ENSINO, PESQUISA E EXTENSÃO AOS ESTUDANTES DO IFMS: AMPARADO PELO DECRETO Nº 7.234, DE 19 DE JULHO DE 2010, QUE DISPÕE SOBRE O PROGRAMA NACIONAL DE ASSISTÊNCIA ESTUDANTIL  (PNAES), BEM COMO PELA RESOLUÇÃO DO CONSELHO SUPERIOR DO IFMS Nº 001 DE 29 DE JANEIRO DE 2018, O PROGRAMA DE ASSISTÊNCIA ESTUDANTIL DO IFMS TEM POR OBJETIVO INCENTIVAR O ESTUDANTE EM SUA FORMAÇÃO EDUCACIONAL, BEM COMO APOIÁ-LO EM SUA PERMANÊNCIA NA INSTITUIÇÃO,VISANDO À REDUÇÃO DOS ÍNDICES DE EVASÃO ESCOLAR DECORRENTES DE DIFICULDADES DE ORDEM SOCIOECONÔMICA. DO AUXÍLIO OFERT;01;BOLSAS DE ESTUDO NO PAIS;37.200,00;itens_DR_155848264152021NE000020.json;2026-03-24 15:27:57
155848264152021NE000020;2;ATENDER DESPESA COM PAGAMENTO DE AUXÍLIOS DIVERSOS REFERENTES ÀS AÇÕES DE ENSINO, PESQUISA E EXTENSÃO AOS ESTUDANTES DO IFMS: AMPARADO PELO DECRETO Nº 7.234, DE 19 DE JULHO DE 2010, QUE DISPÕE SOBRE O PROGRAMA NACIONAL DE ASSISTÊNCIA ESTUDANTIL  (PNAES), BEM COMO PELA RESOLUÇÃO DO CONSELHO SUPERIOR DO IFMS Nº 001 DE 29 DE JANEIRO DE 2018, O PROGRAMA DE ASSISTÊNCIA ESTUDANTIL DO IFMS TEM POR OBJETIVO INCENTIVAR O ESTUDANTE EM SUA FORMAÇÃO EDUCACIONAL, BEM COMO APOIÁ-LO EM SUA PERMANÊNCIA NA INSTITUIÇÃO,VISANDO À REDUÇÃO DOS ÍNDICES DE EVASÃO ESCOLAR DECORRENTES DE DIFICULDADES DE ORDEM SOCIOECONÔMICA. DO AUXÍLIO OFERT;01;BOLSAS DE ESTUDO NO PAIS;35.800,00;itens_DR_155848264152021NE000020.json;2026-03-24 15:27:57
155848264152021NE000022;1;Auxílio para dados móveis à estudante Andressa Camargo Rocha finalista na Feira Brasileira de Ciências e Engenharias (FEBRACE) 2021, realizada entre os dias 15 e 27 de março de 2021, evento realizado de forma virtual. Oficio - Reitoria 31/2021 - COPEF/DIRPE/DIREP/PROPI/RT/IFMS. Campus Dourados.;01;BOLSAS DE ESTUDO NO PAIS;40,00;itens_DR_155848264152021NE000022.json;2026-03-24 15:30:58
155848264152021NE000023;1;Auxílio para dados móveis ao estudante Isaías Valério Avila finalista na Feira Brasileira de Ciências e Engenharias (FEBRACE) 2021, realizada entre os dias 15 e 27 de março de 2021, evento realizado de forma virtual. Oficio - Reitoria 31/2021 - COPEF/DIRPE/DIREP/PROPI/RT/IFMS. Campus Dourados.;01;BOLSAS DE ESTUDO NO PAIS;40,00;itens_DR_155848264152021NE000023.json;2026-03-24 15:18:21
155848264152021NE000024;1;Auxílio para dados móveis à estudante  Libni Alvarenga Vaques finalista na Feira Brasileira de Ciências e Engenharias (FEBRACE) 2021, realizada entre os dias 15 e 27 de março de 2021, evento realizado de forma virtual. Oficio - Reitoria 31/2021 - COPEF/DIRPE/DIREP/PROPI/RT/IFMS. Campus Dourados.;01;BOLSAS DE ESTUDO NO PAIS;40,00;itens_DR_155848264152021NE000024.json;2026-03-24 15:28:13
155848264152021NE000027;1;"ESTE EDITAL TEM POR FINALIDADE A SELEÇÃO DE PROJETO DE ENSINO, PREFERENCIALMENTE, ARTICULADOS COM A EXTENSÃO E/OU PESQUISA, QUE VISEM À IMPLEMENTAÇÃO E PROMOÇÃO DE AÇÕES EDUCATIVAS NOS CURSOS TÉCNICOS INTEGRADO, SUBSEQUENTE E DE GRADUAÇÃO PRESENCIAS E A DISTÂNCIA, DESTINANDO-SE, EXCLUSIVAMENTE, AOS DISCENTES COMO PÚBLICO-ALVO. PROJETO: CURSINHO ¿MAIS SABER"". COORDENADOR (ª): VIVIANE SANTOS.";01;AUXILIO A PESSOAS FISICAS;500,00;itens_DR_155848264152021NE000027.json;2026-03-24 15:31:03
155848264152021NE000028;1;ESTE EDITAL TEM POR FINALIDADE A SELEÇÃO DE PROJETO DE ENSINO, PREFERENCIALMENTE, ARTICULADOS COM A EXTENSÃO E/OU PESQUISA, QUE VISEM À IMPLEMENTAÇÃO E PROMOÇÃO DE AÇÕES EDUCATIVAS NOS CURSOS TÉCNICOS INTEGRADO, SUBSEQUENTE E DE GRADUAÇÃO PRESENCIAS E A DISTÂNCIA, DESTINANDO-SE, EXCLUSIVAMENTE, AOS DISCENTES COMO PÚBLICO-ALVO. PROJETO: PERMANÊNCIA E ÊXITO NA ÁREA DE LÓGICA DE PROGRAMAÇÃO. COORDENADOR: FLÁVIO FÉLIX MEDEIROS.;01;AUXILIO A PESSOAS FISICAS;500,00;itens_DR_155848264152021NE000028.json;2026-03-24 15:17:49
155848264152021NE000029;5;ESTE EDITAL TEM POR FINALIDADE A SELEÇÃO DE PROJETO DE ENSINO, PREFERENCIALMENTE, ARTICULADOS COM A EXTENSÃO E/OU PESQUISA, QUE VISEM À IMPLEMENTAÇÃO E PROMOÇÃO DE AÇÕES EDUCATIVAS NOS CURSOS TÉCNICOS INTEGRADO, SUBSEQUENTE E DE GRADUAÇÃO PRESENCIAS E A DISTÂNCIA, DESTINANDO-SE, EXCLUSIVAMENTE, AOS DISCENTES COMO PÚBLICO-ALVO. ESTUDANTE: LIVIA CAETANO DE ANDRADE.;01;BOLSAS DE ESTUDO NO PAIS;300,00;itens_DR_155848264152021NE000029.json;2026-03-24 15:28:18
155848264152021NE000029;4;ESTE EDITAL TEM POR FINALIDADE A SELEÇÃO DE PROJETO DE ENSINO, PREFERENCIALMENTE, ARTICULADOS COM A EXTENSÃO E/OU PESQUISA, QUE VISEM À IMPLEMENTAÇÃO E PROMOÇÃO DE AÇÕES EDUCATIVAS NOS CURSOS TÉCNICOS INTEGRADO, SUBSEQUENTE E DE GRADUAÇÃO PRESENCIAS E A DISTÂNCIA, DESTINANDO-SE, EXCLUSIVAMENTE, AOS DISCENTES COMO PÚBLICO-ALVO. ESTUDANTE: BEATRIZ ANTONIASSI RODRIGUES.;01;BOLSAS DE ESTUDO NO PAIS;300,00;itens_DR_155848264152021NE000029.json;2026-03-24 15:28:18
155848264152021NE000029;1;ESTE EDITAL TEM POR FINALIDADE A SELEÇÃO DE PROJETO DE ENSINO, PREFERENCIALMENTE, ARTICULADOS COM A EXTENSÃO E/OU PESQUISA, QUE VISEM À IMPLEMENTAÇÃO E PROMOÇÃO DE AÇÕES EDUCATIVAS NOS CURSOS TÉCNICOS INTEGRADO, SUBSEQUENTE E DE GRADUAÇÃO PRESENCIAS E A DISTÂNCIA, DESTINANDO-SE, EXCLUSIVAMENTE, AOS DISCENTES COMO PÚBLICO-ALVO. ESTUDANTE: ÁLVARO MARTINEZ FERREIRA.;01;BOLSAS DE ESTUDO NO PAIS;300,00;itens_DR_155848264152021NE000029.json;2026-03-24 15:28:18
155848264152021NE000029;6;ESTE EDITAL TEM POR FINALIDADE A SELEÇÃO DE PROJETO DE ENSINO, PREFERENCIALMENTE, ARTICULADOS COM A EXTENSÃO E/OU PESQUISA, QUE VISEM À IMPLEMENTAÇÃO E PROMOÇÃO DE AÇÕES EDUCATIVAS NOS CURSOS TÉCNICOS INTEGRADO, SUBSEQUENTE E DE GRADUAÇÃO PRESENCIAS E A DISTÂNCIA, DESTINANDO-SE, EXCLUSIVAMENTE, AOS DISCENTES COMO PÚBLICO-ALVO. ESTUDANTE: VITOR LUIS DOS PASSOS.;01;BOLSAS DE ESTUDO NO PAIS;300,00;itens_DR_155848264152021NE000029.json;2026-03-24 15:28:18
155848264152021NE000029;3;ESTE EDITAL TEM POR FINALIDADE A SELEÇÃO DE PROJETO DE ENSINO, PREFERENCIALMENTE, ARTICULADOS COM A EXTENSÃO E/OU PESQUISA, QUE VISEM À IMPLEMENTAÇÃO E PROMOÇÃO DE AÇÕES EDUCATIVAS NOS CURSOS TÉCNICOS INTEGRADO, SUBSEQUENTE E DE GRADUAÇÃO PRESENCIAS E A DISTÂNCIA, DESTINANDO-SE, EXCLUSIVAMENTE, AOS DISCENTES COMO PÚBLICO-ALVO. ESTUDANTE: CRIS ISNARDE ROSA.;01;BOLSAS DE ESTUDO NO PAIS;300,00;itens_DR_155848264152021NE000029.json;2026-03-24 15:28:18
155848264152021NE000029;2;ESTE EDITAL TEM POR FINALIDADE A SELEÇÃO DE PROJETO DE ENSINO, PREFERENCIALMENTE, ARTICULADOS COM A EXTENSÃO E/OU PESQUISA, QUE VISEM À IMPLEMENTAÇÃO E PROMOÇÃO DE AÇÕES EDUCATIVAS NOS CURSOS TÉCNICOS INTEGRADO, SUBSEQUENTE E DE GRADUAÇÃO PRESENCIAS E A DISTÂNCIA, DESTINANDO-SE, EXCLUSIVAMENTE, AOS DISCENTES COMO PÚBLICO-ALVO. ESTUDANTE: KAROLINE DA SILVA ROCHA.;01;BOLSAS DE ESTUDO NO PAIS;300,00;itens_DR_155848264152021NE000029.json;2026-03-24 15:28:18
155848264152021NE000033;7;ATENDER DESPESA COM PAGAMENTO DE AUXÍLIOS DIVERSOS REFERENTES ÀS AÇÕES DE ENSINO, PESQUISA E EXTENSÃO AOS ESTUDANTES DO IFMS: AMPARADO PELO DECRETO Nº 7.234, DE 19 DE JULHO DE 2010, QUE DISPÕE SOBRE O PROGRAMA NACIONAL DE ASSISTÊNCIA ESTUDANTIL (PNAES), BEM COMO PELA RESOLUÇÃO DO CONSELHO SUPERIOR DO IFMS Nº 001 DE 29 DE JANEIRO DE 2018, O PROGRAMA DE ASSISTÊNCIA ESTUDANTIL DO IFMS TEM POR OBJETIVO INCENTIVAR O ESTUDANTE EM SUA FORMAÇÃO EDUCACIONAL, BEM COMO APOIÁ-LO EM SUA PERMANÊNCIA NA INSTITUIÇÃO,VISANDO À REDUÇÃO DOS ÍNDICES DE EVASÃO ESCOLAR DECORRENTES DE DIFICULDADES DE ORDEM SOCIOECONÔMICA. DO AUXÍLIO OFERTA;01;BOLSAS DE ESTUDO NO PAIS;37.716,00;itens_DR_155848264152021NE000033.json;2026-03-24 15:30:06
155848264152021NE000033;1;ATENDER DESPESA COM PAGAMENTO DE AUXÍLIOS DIVERSOS REFERENTES ÀS AÇÕES DE ENSINO, PESQUISA E EXTENSÃO AOS ESTUDANTES DO IFMS: AMPARADO PELO DECRETO Nº 7.234, DE 19 DE JULHO DE 2010, QUE DISPÕE SOBRE O PROGRAMA NACIONAL DE ASSISTÊNCIA ESTUDANTIL (PNAES), BEM COMO PELA RESOLUÇÃO DO CONSELHO SUPERIOR DO IFMS Nº 001 DE 29 DE JANEIRO DE 2018, O PROGRAMA DE ASSISTÊNCIA ESTUDANTIL DO IFMS TEM POR OBJETIVO INCENTIVAR O ESTUDANTE EM SUA FORMAÇÃO EDUCACIONAL, BEM COMO APOIÁ-LO EM SUA PERMANÊNCIA NA INSTITUIÇÃO,VISANDO À REDUÇÃO DOS ÍNDICES DE EVASÃO ESCOLAR DECORRENTES DE DIFICULDADES DE ORDEM SOCIOECONÔMICA. DO AUXÍLIO OFERTA;01;BOLSAS DE ESTUDO NO PAIS;30.200,00;itens_DR_155848264152021NE000033.json;2026-03-24 15:30:06
155848264152021NE000033;6;ATENDER DESPESA COM PAGAMENTO DE AUXÍLIOS DIVERSOS REFERENTES ÀS AÇÕES DE ENSINO, PESQUISA E EXTENSÃO AOS ESTUDANTES DO IFMS: AMPARADO PELO DECRETO Nº 7.234, DE 19 DE JULHO DE 2010, QUE DISPÕE SOBRE O PROGRAMA NACIONAL DE ASSISTÊNCIA ESTUDANTIL (PNAES), BEM COMO PELA RESOLUÇÃO DO CONSELHO SUPERIOR DO IFMS Nº 001 DE 29 DE JANEIRO DE 2018, O PROGRAMA DE ASSISTÊNCIA ESTUDANTIL DO IFMS TEM POR OBJETIVO INCENTIVAR O ESTUDANTE EM SUA FORMAÇÃO EDUCACIONAL, BEM COMO APOIÁ-LO EM SUA PERMANÊNCIA NA INSTITUIÇÃO,VISANDO À REDUÇÃO DOS ÍNDICES DE EVASÃO ESCOLAR DECORRENTES DE DIFICULDADES DE ORDEM SOCIOECONÔMICA. DO AUXÍLIO OFERTA;01;BOLSAS DE ESTUDO NO PAIS;38.147,04;itens_DR_155848264152021NE000033.json;2026-03-24 15:30:06
155848264152021NE000033;8;ATENDER DESPESA COM PAGAMENTO DE AUXÍLIOS DIVERSOS REFERENTES ÀS AÇÕES DE ENSINO, PESQUISA E EXTENSÃO AOS ESTUDANTES DO IFMS: AMPARADO PELO DECRETO Nº 7.234, DE 19 DE JULHO DE 2010, QUE DISPÕE SOBRE O PROGRAMA NACIONAL DE ASSISTÊNCIA ESTUDANTIL (PNAES), BEM COMO PELA RESOLUÇÃO DO CONSELHO SUPERIOR DO IFMS Nº 001 DE 29 DE JANEIRO DE 2018, O PROGRAMA DE ASSISTÊNCIA ESTUDANTIL DO IFMS TEM POR OBJETIVO INCENTIVAR O ESTUDANTE EM SUA FORMAÇÃO EDUCACIONAL, BEM COMO APOIÁ-LO EM SUA PERMANÊNCIA NA INSTITUIÇÃO,VISANDO À REDUÇÃO DOS ÍNDICES DE EVASÃO ESCOLAR DECORRENTES DE DIFICULDADES DE ORDEM SOCIOECONÔMICA. DO AUXÍLIO OFERTA;01;BOLSAS DE ESTUDO NO PAIS;12.944,75;itens_DR_155848264152021NE000033.json;2026-03-24 15:30:06
155848264152021NE000033;4;ATENDER DESPESA COM PAGAMENTO DE AUXÍLIOS DIVERSOS REFERENTES ÀS AÇÕES DE ENSINO, PESQUISA E EXTENSÃO AOS ESTUDANTES DO IFMS: AMPARADO PELO DECRETO Nº 7.234, DE 19 DE JULHO DE 2010, QUE DISPÕE SOBRE O PROGRAMA NACIONAL DE ASSISTÊNCIA ESTUDANTIL (PNAES), BEM COMO PELA RESOLUÇÃO DO CONSELHO SUPERIOR DO IFMS Nº 001 DE 29 DE JANEIRO DE 2018, O PROGRAMA DE ASSISTÊNCIA ESTUDANTIL DO IFMS TEM POR OBJETIVO INCENTIVAR O ESTUDANTE EM SUA FORMAÇÃO EDUCACIONAL, BEM COMO APOIÁ-LO EM SUA PERMANÊNCIA NA INSTITUIÇÃO,VISANDO À REDUÇÃO DOS ÍNDICES DE EVASÃO ESCOLAR DECORRENTES DE DIFICULDADES DE ORDEM SOCIOECONÔMICA. DO AUXÍLIO OFERTA;01;BOLSAS DE ESTUDO NO PAIS;35.600,00;itens_DR_155848264152021NE000033.json;2026-03-24 15:30:06
155848264152021NE000033;2;ATENDER DESPESA COM PAGAMENTO DE AUXÍLIOS DIVERSOS REFERENTES ÀS AÇÕES DE ENSINO, PESQUISA E EXTENSÃO AOS ESTUDANTES DO IFMS: AMPARADO PELO DECRETO Nº 7.234, DE 19 DE JULHO DE 2010, QUE DISPÕE SOBRE O PROGRAMA NACIONAL DE ASSISTÊNCIA ESTUDANTIL (PNAES), BEM COMO PELA RESOLUÇÃO DO CONSELHO SUPERIOR DO IFMS Nº 001 DE 29 DE JANEIRO DE 2018, O PROGRAMA DE ASSISTÊNCIA ESTUDANTIL DO IFMS TEM POR OBJETIVO INCENTIVAR O ESTUDANTE EM SUA FORMAÇÃO EDUCACIONAL, BEM COMO APOIÁ-LO EM SUA PERMANÊNCIA NA INSTITUIÇÃO,VISANDO À REDUÇÃO DOS ÍNDICES DE EVASÃO ESCOLAR DECORRENTES DE DIFICULDADES DE ORDEM SOCIOECONÔMICA. DO AUXÍLIO OFERTA;01;BOLSAS DE ESTUDO NO PAIS;30.200,00;itens_DR_155848264152021NE000033.json;2026-03-24 15:30:06
155848264152021NE000033;3;ATENDER DESPESA COM PAGAMENTO DE AUXÍLIOS DIVERSOS REFERENTES ÀS AÇÕES DE ENSINO, PESQUISA E EXTENSÃO AOS ESTUDANTES DO IFMS: AMPARADO PELO DECRETO Nº 7.234, DE 19 DE JULHO DE 2010, QUE DISPÕE SOBRE O PROGRAMA NACIONAL DE ASSISTÊNCIA ESTUDANTIL (PNAES), BEM COMO PELA RESOLUÇÃO DO CONSELHO SUPERIOR DO IFMS Nº 001 DE 29 DE JANEIRO DE 2018, O PROGRAMA DE ASSISTÊNCIA ESTUDANTIL DO IFMS TEM POR OBJETIVO INCENTIVAR O ESTUDANTE EM SUA FORMAÇÃO EDUCACIONAL, BEM COMO APOIÁ-LO EM SUA PERMANÊNCIA NA INSTITUIÇÃO,VISANDO À REDUÇÃO DOS ÍNDICES DE EVASÃO ESCOLAR DECORRENTES DE DIFICULDADES DE ORDEM SOCIOECONÔMICA. DO AUXÍLIO OFERTA;01;BOLSAS DE ESTUDO NO PAIS;35.800,00;itens_DR_155848264152021NE000033.json;2026-03-24 15:30:06
